timestamp,burned,circulating,issued,max,total
1994-12-31T00:00:00.000Z,74589732.03921692,,3729486601.960846,,3654896869.921629
1995-12-31T00:00:00.000Z,76518776.8333346,,3825938841.66673,,3749420064.8333955
1996-12-31T00:00:00.000Z,77804806.69607972,,3890240334.803986,,3812435528.1079063
1997-12-31T00:00:00.000Z,79090836.55882484,,3954541827.9412417,,3875450991.3824167
1998-12-31T00:00:00.000Z,80376866.42156996,,4018843321.078498,,3938466454.656928
1999-12-31T00:00:00.000Z,82305911.21568763,,4115295560.784382,,4032989649.568694
2000-12-31T00:00:00.000Z,90022090.39215836,,4501104519.607918,,4411082429.215759
2001-12-31T00:00:00.000Z,91951135.18627603,,4597556759.313802,,4505605624.127525
2002-12-31T00:00:00.000Z,91951135.18627603,,4597556759.313802,,4505605624.127525
2003-12-31T00:00:00.000Z,93237165.04902115,,4661858252.451057,,4568621087.402037
2004-12-31T00:00:00.000Z,95809224.7745114,,4790461238.72557,,4694652013.951058
2005-12-31T00:00:00.000Z,97095254.6372565,,4854762731.862825,,4757667477.225569
2006-12-31T00:00:00.000Z,98381284.50000162,,4919064225.000081,,4820682940.500079
2007-12-31T00:00:00.000Z,99667314.36274676,,4983365718.137338,,4883698403.7745905
2008-12-31T00:00:00.000Z,100953344.22549187,,5047667211.274593,,4946713867.049102
2009-12-31T00:00:00.000Z,106483272.63529587,,5324163631.764793,,5217680359.129498
2010-12-31T00:00:00.000Z,107126287.56666844,,5356314378.333422,,5249188090.766753
2011-12-31T00:00:00.000Z,110148457.74411948,,5507422887.205974,,5397274429.461854
2012-12-31T00:00:00.000Z,111884598.05882537,,5594229902.941269,,5482345304.882443
2013-12-31T00:00:00.000Z,113170627.9215705,,5658531396.078525,,5545360768.156954
2014-12-31T00:00:00.000Z,118314747.37255098,,5915737368.627549,,5797422621.254998
2015-12-31T00:00:00.000Z,119600777.2352961,,5980038861.764805,,5860438084.529509
2016-12-31T00:00:00.000Z,120243792.16666865,,6012189608.333432,,5891945816.166763
2017-12-31T00:00:00.000Z,122172836.96078633,,6108641848.039316,,5986469011.07853
2018-12-31T00:00:00.000Z,124744896.68627657,,6237244834.313828,,6112499937.627552
