timestamp,rwa:USD,rwa:USTB,rwa:USTBOND,rwa:USTNOTE
2023-05-19T22:00:00.000Z,17096965,1620894000,326677069,3630923065
2023-05-31T22:00:00.000Z,6310303,2372138500,2830500055,71400080
